student_id,name,email,age,gender,department,status,age_group,ingestion_timestamp
STU00043,Student 43,student43@campus.edu,24,Female,Science,graduated,22-25,2026-09-18 11:36:26.834319
STU00044,Student 44,student44@campus.edu,28,Male,Science,graduated,25+,2026-09-18 11:36:26.834319
STU00045,Student 45,student45@campus.edu,63,Male,Engineering,inactive,25+,2026-09-18 11:36:26.834319
STU00046,Student 46,student46@campus.edu,38,Male,Science,active,25+,2026-09-18 11:36:26.834319
STU00047,Student 47,student47@campus.edu,21,Male,Engineering,active,18-22,2026-09-18 11:36:26.834319
STU00048,Student 48,student48@campus.edu,20,Female,Computer Science,active,18-22,2026-09-18 11:36:26.834319
STU00049,Student 49,student49@campus.edu,39,unknown,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00050,Student 50,Unknown,21,Female,Medicine,active,18-22,2026-09-18 11:36:26.834319
STU00051,Student 51,student51@campus.edu,37,unknown,Medicine,inactive,25+,2026-09-18 11:36:26.834319
STU00052,Student 52,student52@campus.edu,37,Male,Computer Science,graduated,25+,2026-09-18 11:36:26.834319
STU00053,Student 53,student53@campus.edu,53,Female,Engineering,inactive,25+,2026-09-18 11:36:26.834319
STU00054,Student 54,student54@campus.edu,31,Male,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00055,Student 55,student55@campus.edu,17,Male,Computer Science,graduated,<18,2026-09-18 11:36:26.834319
STU00056,Student 56,student56@campus.edu,61,Male,Business,active,25+,2026-09-18 11:36:26.834319
STU00057,Student 57,student57@campus.edu,44,Female,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00058,Student 58,student58@campus.edu,49,Male,Science,active,25+,2026-09-18 11:36:26.834319
STU00059,Student 59,student59@campus.edu,22,Female,Engineering,inactive,18-22,2026-09-18 11:36:26.834319
STU00060,Student 60,Unknown,39,Other,Business,inactive,25+,2026-09-18 11:36:26.834319
STU00061,Student 61,student61@campus.edu,20,Female,Medicine,inactive,18-22,2026-09-18 11:36:26.834319
STU00062,Student 62,student62@campus.edu,50,Male,Arts,active,25+,2026-09-18 11:36:26.834319
STU00063,Student 63,student63@campus.edu,33,unknown,Engineering,inactive,25+,2026-09-18 11:36:26.834319
STU00064,Student 64,student64@campus.edu,55,unknown,Science,active,25+,2026-09-18 11:36:26.834319
STU00065,Student 65,student65@campus.edu,54,Male,Engineering,active,25+,2026-09-18 11:36:26.834319
STU00066,Student 66,student66@campus.edu,38,unknown,Medicine,inactive,25+,2026-09-18 11:36:26.834319
STU00067,Student 67,student67@campus.edu,51,Female,Science,active,25+,2026-09-18 11:36:26.834319
STU00068,Student 68,student68@campus.edu,27,Other,Science,active,25+,2026-09-18 11:36:26.834319
STU00069,Student 69,student69@campus.edu,60,unknown,Arts,active,25+,2026-09-18 11:36:26.834319
STU00070,Student 70,Unknown,19,Other,Engineering,active,18-22,2026-09-18 11:36:26.834319
STU00071,Student 71,student71@campus.edu,17,Male,Arts,inactive,<18,2026-09-18 11:36:26.834319
STU00072,Student 72,student72@campus.edu,57,Other,Arts,active,25+,2026-09-18 11:36:26.834319
STU00073,Student 73,student73@campus.edu,29,Male,Engineering,graduated,25+,2026-09-18 11:36:26.834319
STU00074,Student 74,student74@campus.edu,64,Female,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00075,Student 75,student75@campus.edu,33,Male,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00076,Student 76,student76@campus.edu,20,Male,Medicine,inactive,18-22,2026-09-18 11:36:26.834319
STU00077,Student 77,student77@campus.edu,29,unknown,Arts,active,25+,2026-09-18 11:36:26.834319
STU00078,Student 78,student78@campus.edu,21,unknown,Business,inactive,18-22,2026-09-18 11:36:26.834319
STU00079,Student 79,student79@campus.edu,39,Other,Arts,active,25+,2026-09-18 11:36:26.834319
STU00080,Student 80,Unknown,32,Female,Arts,inactive,25+,2026-09-18 11:36:26.834319
STU00081,Student 81,student81@campus.edu,44,Female,Arts,inactive,25+,2026-09-18 11:36:26.834319
STU00082,Student 82,student82@campus.edu,55,Female,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00083,Student 83,student83@campus.edu,38,Male,Computer Science,inactive,25+,2026-09-18 11:36:26.834319
STU00084,Student 84,student84@campus.edu,25,unknown,Medicine,active,22-25,2026-09-18 11:36:26.834319
STU00085,Student 85,student85@campus.edu,38,Other,Medicine,inactive,25+,2026-09-18 11:36:26.834319
STU00086,Student 86,student86@campus.edu,37,unknown,Medicine,graduated,25+,2026-09-18 11:36:26.834319
STU00087,Student 87,student87@campus.edu,28,Female,Computer Science,inactive,25+,2026-09-18 11:36:26.834319
STU00088,Student 88,student88@campus.edu,57,Female,Computer Science,inactive,25+,2026-09-18 11:36:26.834319
STU00089,Student 89,student89@campus.edu,32,Female,Arts,inactive,25+,2026-09-18 11:36:26.834319
STU00090,Student 90,Unknown,59,Female,Medicine,active,25+,2026-09-18 11:36:26.834319
STU00091,Student 91,student91@campus.edu,20,Other,Business,active,18-22,2026-09-18 11:36:26.834319
STU00092,Student 92,student92@campus.edu,56,Female,Computer Science,active,25+,2026-09-18 11:36:26.834319
STU00093,Student 93,student93@campus.edu,19,Female,Engineering,graduated,18-22,2026-09-18 11:36:26.834319
STU00094,Student 94,student94@campus.edu,53,Female,Engineering,graduated,25+,2026-09-18 11:36:26.834319
STU00095,Student 95,student95@campus.edu,55,Male,Engineering,active,25+,2026-09-18 11:36:26.834319
STU00096,Student 96,student96@campus.edu,25,Female,Science,active,22-25,2026-09-18 11:36:26.834319
STU00097,Student 97,student97@campus.edu,49,Other,Arts,active,25+,2026-09-18 11:36:26.834319
STU00098,Student 98,student98@campus.edu,61,Male,Engineering,inactive,25+,2026-09-18 11:36:26.834319
STU00099,Student 99,student99@campus.edu,30,Male,Arts,active,25+,2026-09-18 11:36:26.834319
STU00100,Student 100,Unknown,25,Male,Engineering,graduated,22-25,2026-09-18 11:36:26.834319
